#	Гэрээний нэр	Эрдсийн төрөл	Гэрээний төрөл	Гэрээ байгуулсан огноо	Баримт бичгийн төрөл	Гэрээ байгуулсан төрийн байгууллага	Компанийн нэр	Төслийн нэр	Гэрээний файл	OCID	Аннотацийн текст	Метадата текст
281.	"""Загийн усны хоолой"" гүний усны ордоос ""Эрдэнэс Тавантолгой"" ХК-ийн нүүрсний уурхай хүртэлх ус хангамжийн шугам хоолойн барилга угсралтын Ажил гүйцэтгэх гэрээ - 3"	Нүүрс;	Бүтээн байгуулалтын гэрээ	2022-01-28	Гэрээ	Эрдэнэс-Тавантолгой ХК;	"""ЧММ"" ХХК Сан ХХК"			ocds-591adf-MN3993712738RC-1143		
282.	"""Загийн усны хоолой"" гүний усны ордоос ""Эрдэнэс Тавантолгой"" ХК-ийн нүүрсний уурхай хүртэлх ус хангамжийн шугам хоолойн барилга угсралтын ажлын гүйцэтгэгчидтэй байгуулах Ерөнхий гэрээ"	Нүүрс;	Бүтээн байгуулалтын гэрээ	2022-01-28	Гэрээ	Эрдэнэс-Тавантолгой ХК;	"""Набсан"" ХХК"			ocds-591adf-MN3993712738RC		
283.	"""Загийн усны хоолой"" гүний усны ордоос ""Эрдэнэс Тавантолгой"" ХК-ийн нүүрсний уурхай хүртэлх ус хангамжийн шугам хоолойн барилга угсралтын Ажил гүйцэтгэх гэрээ - 2"	Нүүрс;	Бүтээн байгуулалтын гэрээ	2022-01-28	Гэрээ	Эрдэнэс-Тавантолгой ХК;	"""Эс Энд Эи Трейд"" ХХК Бридж Констракшн ХХК"			ocds-591adf-MN3993712738RC-1142		
284.	"""Загийн усны хоолой"" гүний усны ордоос ""Эрдэнэс Тавантолгой"" ХК-ийн нүүрсний уурхай хүртэлх ус хангамжийн шугам хоолойн барилга угсралтын Ажил гүйцэтгэх гэрээ - 1"	Нүүрс;	Бүтээн байгуулалтын гэрээ	2022-01-28	Гэрээ	Эрдэнэс-Тавантолгой ХК;	"""Набсан"" ХХК Тэргүүн Инвест ХХК"			ocds-591adf-MN3993712738RC-1141		
285.	Байгаль орчныг хамгаалах, уурхай ашиглах, үйлдвэр байгуулахтай холбогдсон дэд бүтцийг хөгжүүлэх ажлын байр нэмэгдүүлэхтэй холбоотой нийгмийн хариуцлагын гэрээ	Алт;	Орон нутагтай хамтран ажиллах гэрээ	2021-11-24	Гэрээ	Сэлэнгэ аймгийн Баянгол сумын ЗДТГ;	Сонор трейд ХХК			ocds-591adf-MN0688546318RC		
286.	ОРХОН АЙМАГ, “ЭРДЭНЭТ ҮЙЛДВЭР” ТӨҮГ-ЫН  2022 ОНЫ ХАМТЫН АЖИЛЛАГААНЫ ТӨЛӨВЛӨГӨӨ	Зэс;	Орон нутагтай хамтран ажиллах гэрээ	2021-11-19	Гэрээ	Орхон аймгийн ЗДТГ;	"""Эрдэнэт үйлдвэр"" ТӨҮГ"			ocds-591adf-MN8217824899RC-1131		
287.	"Орхон аймаг, ""Эрдэнэт үйлдвэр"" ТӨҮГ-ын хамтран ажиллах гэрээ"	Зэс;	Орон нутагтай хамтран ажиллах гэрээ	2021-11-19	Гэрээ	Орхон аймгийн ЗДТГ;	"""Эрдэнэт үйлдвэр"" ТӨҮГ"			ocds-591adf-MN8217824899RC		
288.	Сайхан сумын Засаг даргын Тамгын газар, Уул уурхайн аж ахуй нэгжийн хооронд байгуулсан нийгмийн хариуцлагын гэрээ	Тодорхойгүй;	Орон нутагтай хамтран ажиллах гэрээ	2021-11-17	Гэрээ	Сэлэнгэ аймгийн Сайхан сумын Засаг даргын Тамгын газар;	"""Бижбугат"" ХХК"			ocds-591adf-MN1070617737RC		
289.	Сайхан сумын Засаг даргын Тамгын газар, Уул уурхайн аж ахуй нэгжийн хооронд байгуулсан нийгмийн хариуцлагын гэрээ	Гантиг;	Орон нутагтай хамтран ажиллах гэрээ	2021-11-17	Гэрээ	Сэлэнгэ аймгийн Сайхан сумын Засаг даргын Тамгын газар;	"""Түмэнзул энержи"" ХХК"			ocds-591adf-MN1552998343RC		
290.	Хамтран ажиллах гэрээ	Газрын Тос;	Орон нутагтай хамтран ажиллах гэрээ	2021-11-11	Гэрээ	Дорноговь аймгийн Сайншанд сумын Засаг дарга;	Доншен газрын тос Монгол ХХК	Газрын тос		ocds-591adf-MN0837926466RC		
291.	Нийгмийн хариуцлагын гэрээ	Шавар;	Орон нутагтай хамтран ажиллах гэрээ	2021-11-03	Нийгмийн гэрээ	НДЗТГ;	Күнлүн ХХК	Шавар олборлолт		ocds-591adf-MN6232102296RC		
292.	"Завхан аймгийн Ургамал сумаас ""Түүчээ тэрэг""  ХХК-тай байгуулах хамтын ажиллагааны гэрээ"	Алт;	Орон нутагтай хамтран ажиллах гэрээ	2021-10-22	Гэрээ	Завхан аймгийн Ургамал сумын Засаг даргын тамгын газар;	Түүчээ тэрэг ХХК			ocds-591adf-MN7989842393RC		
293.	Бичил уурхайгаар ашигт малтмал олборлох	Алт;	Бичил уурхайгаар ашигт малтмал олборлох тухай гэрээ	2021-10-18	Гэрээ	Ховд аймгийн Алтай сумын Засаг дарга;	Алтайн говь цонж	Алтны бичил уурхай		ocds-591adf-MN3279551022RC		
294.	Бичил уурхайгаар ашигт малтмал олборлох	Алт;	Бичил уурхайгаар ашигт малтмал олборлох тухай гэрээ	2021-10-18	Гэрээ	Ховд аймгийн Алтай сумын Засаг дарга;	Бодонч нутгийн хишиг нөхөрлөл	Алтны бичил уурхай		ocds-591adf-MN9660086375RC		
295.	Нийгмийн хариуцлагын хүрээнд байгаль орчныг хамгаалах, орон нутагт хөрөнгө оруулалт, ажлын байр нэмэгдүүлэхэд хамтран ажиллах гэрээ	Тодорхойгүй;	Орон нутагтай хамтран ажиллах гэрээ	2021-10-17	Гэрээ	Сэлэнгэ аймаг Түшиг сумын Засаг даргын Тамгын газар;	Техно перпектив ХХК			ocds-591adf-MN7412524656RC		
296.	Хамтран ажиллах гэрээ- Эм Жи Эл Гео Хүдэр ХХК	Хүдэр;	Орон нутагтай хамтран ажиллах гэрээ	2021-10-13	Гэрээ	Дорноговь аймгийн Сайншанд сумын ЗДТГ;	Эм Жи Эл Гео Хүдэр ХХК			ocds-591adf-MN5496512265RC		
297.	Хамтын ажиллагааны гэрээ	Цайр;	Орон нутагтай хамтран ажиллах гэрээ	2021-10-12	Загвар гэрээ	Сүхбаатар аймгийн ЗДТГ, Сүхбаатар сумын ЗДТГ;	Цайрт минерал ХХК			ocds-591adf-MN8929129428RC		
298.	БАЙГАЛЬ ОРЧНЫГ ХАМГААЛАХ, УУРХАЙ АШИГЛАХ, ҮЙЛДВЭР БАЙГУУЛАХТАЙ ХОЛБОГДСОН ДЭД БҮТЦИЙГ ХӨГЖҮҮЛЭХ, АЖЛЫН БАЙР НЭМЭГДҮҮЛЭХЭД ХАМТРАН АЖИЛЛАХ ГЭРЭЭ	Алт;	Бусад	2021-10-01	Гэрээ	ГОВЬ-АЛТАЙ АЙМГИЙН ЗДТГ,;	БОЛДГЯНТБОЛД ХХК	БОЛДГЯНТБОЛД		ocds-591adf-MN1733987540RC		
299.	Хамтран ажиллах гэрээ	Төмрийн Хүдэр;	Орон нутагтай хамтран ажиллах гэрээ	2021-09-29	Гэрээ	Даланжаргалан сумын Засаг дарга;	"""Олон Ихт баян"" ХХК"	Төмрийн хүдэр баяжуулах үйлдвэр		ocds-591adf-MN8302343803RC		
300.	Нийгмийн хариуцлагын гэрээ	Шавар;	Орон нутагтай хамтран ажиллах гэрээ	2021-09-03	Нийгмийн гэрээ	НДЗДТГ;	Хасгуа ХХК	Шавар олборлолт		ocds-591adf-MN2533684239RC		
