#,Гэрээний нэр,Эрдсийн төрөл,Гэрээний төрөл,Гэрээ байгуулсан огноо,Баримт бичгийн төрөл,Гэрээ байгуулсан төрийн байгууллага,Компанийн нэр,Төслийн нэр,Гэрээний файл,OCID,Аннотацийн текст,Метадата текст
287,"Сайхан сумын Засаг даргын Тамгын газар, Уул уурхайн аж ахуй нэгжийн хооронд байгуулсан нийгмийн хариуцлагын гэрээ",,Localcooperation agreement,2021-11-17,Contract,,,,,ocds-591adf-MN1070617737RC,,
288,"Сайхан сумын Засаг даргын Тамгын газар, Уул уурхайн аж ахуй нэгжийн хооронд байгуулсан нийгмийн хариуцлагын гэрээ",,,2021-11-17,Contract,,,,,ocds-591adf-MN1552998343RC,,
289,Хамтран ажиллах гэрээ,,,2021-11-11,Contract,,,Газрын тос,,ocds-591adf-MN0837926466RC,,
290,Нийгмийн хариуцлагын гэрээ,,,2021-11-03,Social Agreement,,,Шавар олборлолт,,ocds-591adf-MN6232102296RC,,
291,"Завхан аймгийн Ургамал сумаас ""Түүчээ тэрэг""  ХХК-тай байгуулах хамтын ажиллагааны гэрээ",,,2021-10-22,Contract,,,,,ocds-591adf-MN7989842393RC,,
292,Бичил уурхайгаар ашигт малтмал олборлох,,,2021-10-18,Contract,,,Алтны бичил уурхай,,ocds-591adf-MN3279551022RC,,
293,Бичил уурхайгаар ашигт малтмал олборлох,,,2021-10-18,Contract,,,Алтны бичил уурхай,,ocds-591adf-MN9660086375RC,,
294,"Нийгмийн хариуцлагын хүрээнд байгаль орчныг хамгаалах, орон нутагт хөрөнгө оруулалт, ажлын байр нэмэгдүүлэхэд хамтран ажиллах гэрээ",,Localcooperation agreement,2021-10-17,Contract,,,,,ocds-591adf-MN7412524656RC,,
295,Хамтран ажиллах гэрээ- Эм Жи Эл Гео Хүдэр ХХК,,Localcooperation agreement,2021-10-13,Contract,,,,,ocds-591adf-MN5496512265RC,,
296,Хамтын ажиллагааны гэрээ,,,2021-10-12,Model Contract,,,,,ocds-591adf-MN8929129428RC,,
